JPEG, FF D8 FF
JPG, FF D8 FF
PNG, 89 50 4E 47 0D 0A 1A 0A
GIF, 47 49 46 38 39 61
PDF, 25 50 44 46 2D
ZIP, 50 4B 03 04
DOCX, 50 4B 03 04 14 00 06 00
XLSX, 50 4B 03 04 14 00 06 00
PPTX, 50 4B 03 04 14 00 06 00
MP3, 49 44 33
WAV, 52 49 46 46
MP4, 00 00 00 18 66 74 79 70
AVI, 52 49 46 46
MOV, 00 00 00 14 66 74 79 70
MKV, 1A 45 DF A3
BMP, 42 4D
TIFF/TIF, 49 49 2A 00 or 4D 4D 00 2A
ICO, 00 00 01 00
EXE, 4D 5A
DLL, 4D 5A
XML, 3C 3F 78 6D 6C 20
HTML, 3C 21 44 4F 43 54 59 50 45 20 68 74 6D 6C 3E
CSS, 2F 2A 20 43 53 53 20 2A 2F
JSON, 7B 22 74 79 70 65 22 3A 22
SQL, 53 45 4C 45 43 54
JPG2000, 00 00 00 0C 6A 50 20 20
FLV, 46 4C 56 01
RAR, 52 61 72 21 1A 07 00
GZ, 1F 8B 08
7Z, 37 7A BC AF 27 1C
APK, 50 4B 03 04 14 00 00 08 00
WMV, 30 26 B2 75 8E 66 CF 11 A6 D9 00 AA 00 62 CE 6C
WMA, 30 26 B2 75 8E 66 CF 11 A6 D9 00 AA 00 62 CE 6C
WOFF, 77 4F 46 46 00 01 00 00
SVG, 3C 73 76 67 20 78 6D 6C 6E 73 3D 22 68 74 74
PSD, 38 42 50 53
OTF, 4F 54 54 4F 00
ICO, 00 00 01 00
EOT, 4C 50
AI, 25 50 44 46 2D 31 2E 36
EPS, 25 21 50 53 2D 41 64 6F 62 65 2D 33 2E 30
SWF, 46 57 53
TTF, 00 01 00 00 00
OGG, 4F 67 67 53
AVCHD, 00 00 00 20 66 74 79 70 33 67 70 35
FLAC, 66 4C 61 43
M4A, 00 00 00 20 66 74 79 70 4D 34 41 20
AAC, FF F1
WEBP, 52 49 46 46 00 00 00 00 57 45 42 50
M4V, 00 00 00 20 66 74 79 70 4D 34 56 20
AMR,23 21 41 4D 52 0A
